t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts,proofs,held,stacked,stackRows,stackMelts,nStacks,maxStack,meanStack
5000,414,12,13,63,24,13,2.054,4,4,0.656,103,7,30,173,1015,0,1,0,49,62,0,1698,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,38,182,11,2,1.364
10000,408,12,12,65,26,15,2,2,2,0.659,290,11,34,460,2928,5,2,0,157,162,0,4903,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,126,495,11,2,1.455
15000,432,4,10,56,26,7,2.091,3,5,1.223,475,16,36,758,4864,14,9,0,287,282,0,8094,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,211,763,4,2,1.75
20000,406,8,8,78,25,12,2.108,3,3,1.207,626,17,34,1008,6364,17,10,0,389,376,0,10715,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,281,1044,10,4,1.8
25000,378,16,16,86,27,22,2,2,3,1.099,831,22,27,1333,8457,23,13,0,515,489,0,14209,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,377,1404,15,3,1.667
30000,407,13,6,71,30,12,2,2,3,1.116,1049,25,35,1668,10663,30,18,0,682,636,0,17920,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,479,1766,10,2,1.3
35000,394,16,4,84,26,19,2.022,3,4,1.014,1270,28,33,2002,12757,34,19,0,811,757,0,21569,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,588,2121,15,2,1.267
40000,355,13,22,98,45,16,2.049,3,4,0.607,1482,31,24,2313,15084,42,22,0,940,877,0,25599,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,688,2462,12,2,1.667
45000,396,20,11,73,24,21,2.022,3,3,0.415,1703,34,27,2657,17373,49,24,0,1098,1024,0,29636,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,783,2788,13,2,1.077
50000,393,15,13,76,35,15,1.98,2,4,1.229,1897,34,30,2959,19219,53,24,0,1224,1142,0,32691,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,876,3080,10,2,1.2
55000,385,8,17,85,39,12,2.02,3,2,0.139,2112,34,19,3293,21282,54,28,0,1351,1260,0,36286,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,982,3426,10,3,1.8
60000,365,16,18,93,42,18,2.017,3,2,0.122,2321,37,25,3614,23326,58,31,0,1484,1385,0,39656,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,1083,3767,13,2,1.385
65000,373,19,15,91,36,20,2,2,2,0.301,2560,38,19,3990,25796,63,32,0,1629,1517,0,43825,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,1201,4195,13,2,1.154
70000,412,8,10,73,32,10,2,2,2,0.276,2757,41,34,4311,27713,65,33,0,1764,1639,0,47063,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1296,4516,6,3,1.667
75000,365,15,22,93,35,21,2,2,1,0,3003,46,24,4676,30030,72,37,0,1897,1759,0,50961,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,1417,4882,15,2,1.667
80000,373,18,19,89,40,18,2.017,3,2,0.126,3249,51,20,5048,32651,76,40,0,2065,1915,0,55431,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,1517,5246,9,2,1.222
85000,403,13,8,77,32,13,2.044,3,3,0.307,3459,54,28,5377,34920,80,44,0,2211,2044,0,59253,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1617,5577,6,3,1.333
90000,371,13,35,80,44,14,2.052,3,2,0.294,3679,58,28,5710,37179,85,47,0,2357,2180,0,63039,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,1715,5914,9,2,1.444
95000,353,20,13,101,30,24,2.093,3,3,0.747,3920,60,19,6077,39578,95,51,0,2524,2337,0,66951,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,1829,6331,18,2,1.556
100000,421,8,11,61,23,11,2.059,3,3,0.834,4136,62,31,6401,41741,100,53,0,2682,2491,0,70673,0,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1928,6675,8,3,1.75
