t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits,cuts
20000,538,100,85,317,29,54,4.06,6,31,3.793,285,9,30,618,1433,591,38,15,413,210,331,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000,566,100,84,290,29,53,3.951,5,35,3.919,697,14,35,1588,3269,1303,152,62,1265,684,602,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,620,91,78,251,17,48,4.031,5,31,4.247,1048,17,44,2413,4800,1929,246,103,1996,1057,832,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,539,115,103,283,15,57,4.333,6,30,3.891,1430,19,39,3298,6568,2641,338,140,2764,1470,1127,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,608,96,84,252,15,50,4.215,8,30,4.294,1803,20,45,4166,8150,3256,426,182,3536,1868,1366,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,529,104,103,303,26,56,4.293,9,35,3.992,2190,24,34,5005,9867,3951,521,214,4252,2295,1693,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,597,92,75,276,21,48,4.101,5,22,3.23,2587,24,37,5937,11698,4700,612,258,5104,2726,2028,0,0,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,581,88,81,290,24,51,4.067,5,26,3.622,3005,27,37,6841,13510,5433,695,287,5919,3152,2341,0,0,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,565,94,99,282,25,53,4.103,8,32,4.247,3407,33,34,7732,15284,6182,788,317,6705,3564,2641,0,0,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,502,115,97,326,21,60,4.136,5,33,3.98,3798,36,45,8649,17093,6901,888,364,7480,3989,2980,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,660,74,71,235,26,42,3.868,5,24,3.705,4199,38,36,9551,18718,7513,987,406,8295,4442,3204,0,0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,620,87,78,255,22,46,4.044,7,29,3.936,4591,43,35,10427,20488,8237,1076,448,9062,4852,3529,0,0,2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260000,633,92,78,237,13,46,4.373,6,24,3.729,4950,44,42,11288,22125,8889,1164,483,9799,5268,3801,0,0,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,542,104,100,294,17,56,4.342,5,31,3.704,5363,44,33,12172,23963,9666,1256,536,10592,5703,4144,0,0,2554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,603,92,83,262,13,47,4.583,10,27,3.943,5735,45,33,13083,25642,10305,1343,577,11391,6118,4437,0,0,2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,607,92,76,265,21,48,3.957,5,25,3.783,6116,51,36,13956,27296,10953,1425,620,12156,6553,4687,0,0,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,599,94,89,257,25,48,4.014,5,23,3.474,6570,54,36,14864,29188,11721,1526,660,13001,7001,5031,0,0,3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,639,85,81,235,18,45,4.175,5,23,3.725,6945,59,40,15676,30828,12381,1605,697,13721,7391,5327,0,0,3321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,543,103,100,294,21,56,4.065,6,36,4.235,7315,63,40,16516,32527,13117,1686,739,14424,7790,5586,0,0,3517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,565,104,88,283,18,52,4.214,5,27,3.822,7711,63,36,17432,34309,13827,1794,793,15250,8215,5886,0,0,3725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
